timestamp,object_id,position_x,position_y,size,velocity,color
1512171331,1,28,60,10,6,81747
1512172331,2,61,68,50,78,91847
1512173331,3,81,4,64,84,51698
1512174331,4,62,47,23,87,71196
1512175331,5,6,35,77,52,37403
1512176331,6,92,23,94,5,64418
1512177331,7,88,13,42,84,79615
1512178331,8,66,49,36,54,19097
1512179331,9,21,65,90,4,28464
1512180331,10,39,56,70,10,96828
1512181331,11,53,66,23,3,29320
1512182331,12,35,14,30,95,20051
1512183331,13,58,17,73,86,72470
1512184331,14,31,5,89,3,55667
1512185331,15,35,22,79,56,24108
1512186331,16,30,69,73,76,24580
1512187331,17,46,33,38,98,19915
1512188331,18,54,47,6,61,45444
1512189331,19,40,3,59,52,40937
1512190331,1,41,86,90,77,43592
1512191331,2,24,22,30,47,73149
1512192331,3,31,49,64,18,18449
1512193331,4,45,13,73,96,61497
1512194331,5,92,35,95,5,73108
1512195331,6,71,67,90,47,53023
1512196331,7,70,27,47,43,26139
1512197331,8,68,37,31,93,28745
1512198331,9,77,52,31,91,35009
1512199331,10,6,28,98,65,11911
1512200331,11,21,22,62,84,67631
1512201331,12,73,66,19,67,62669
1512202331,13,43,69,52,28,85031
1512203331,14,58,30,28,56,69326
1512204331,15,40,83,72,64,37330
1512205331,16,68,87,42,9,16220
1512206331,17,18,6,13,6,11386
1512207331,18,66,33,18,50,96318
1512208331,19,35,61,68,25,90418
1512209331,1,79,50,21,54,30491
1512210331,2,32,90,71,30,42188
1512211331,3,4,45,24,93,84595
1512212331,4,72,5,98,60,54561
1512213331,5,96,76,26,100,95634
1512214331,6,83,65,99,58,22208
1512215331,7,96,5,79,91,19653
1512216331,8,64,38,60,66,46685
1512217331,9,26,87,89,36,90573
1512218331,10,71,24,9,51,40143
1512219331,11,17,45,48,72,22917
